"","Estimate","Std. Error","t value","Pr(>|t|)"
"companyBrand 1054",-16.4839731781634,9.63210768027806,-1.71135682088716,0.0870513465514429
"companyBrand 1055",-2.99593137835067,2.17848437263995,-1.37523657088259,0.169093960936514
"companyBrand 1056",14.6623330300146,3.25192270062358,4.50881966757789,6.60531302743745e-06
"companyBrand 1057",-3.03141849170915,1.94164412572953,-1.56126369994303,0.118498365656782
"companyBrand 1058",13.3310004254205,4.89764239121998,2.72192196990924,0.00650342881896557
"companyBrand 1059",-0.309049466616797,2.6580131088363,-0.116270858706224,0.907440597049519
"companyBrand 106",-3.64807822214187,2.33212809369426,-1.56427008962576,0.117790972558809
"companyBrand 1060",4.51793429506523,2.64327293668783,1.70921974509619,0.0874463558588812
"companyBrand 1061",-1.76312631946506,1.52647315759961,-1.15503263892147,0.248109174468541
"companyBrand 1062",0.163300690023743,3.25851163876911,0.0501151163865197,0.960031818378709
"companyBrand 1063",-46.3097557584511,16.7611137042047,-2.76292832181157,0.00574071929442909
"companyBrand 1064",0.277928223441403,1.14435949154839,0.242867932231112,0.808113504282831
"companyBrand 1065",-1.13459151424089,2.06817859394743,-0.548594554436111,0.58329797455729
"companyBrand 1066",-11.1864746241503,9.13295493112584,-1.22484723821705,0.220666353669599
"companyBrand 1067",16.9623740245121,5.81380821587023,2.91760123393975,0.00353648912728733
"companyBrand 1068",1.84287680551132,1.31299023255661,1.40357236468007,0.160482360394309
"companyBrand 1069",-28.9809707293194,15.0477519798936,-1.92593357253914,0.0541456179030265
"companyBrand 107",-2.47968434936857,1.38275307918515,-1.79329512021759,0.072960895724908
"companyBrand 1070",11.7304124370711,3.04582324630471,3.85131095552009,0.000118340451906675
"companyBrand 1071",151.558258002103,33.7718349071359,4.48771168101614,7.292918957931e-06
"companyBrand 1072",-1.72311955549972,1.56094435781543,-1.1038955660862,0.269669349921191
"companyBrand 1073",-2.1140666852803,1.95171923904175,-1.08318176251532,0.278758141873775
"companyBrand 1074",-4.57468708428083,3.49036357339608,-1.31066205227145,0.19000698842094
"companyBrand 1075",1.80900867544678,8.80376016475098,0.205481367233264,0.837200921089319
"companyBrand 1076",2.43726056199891,1.91697918474454,1.27140689966527,0.203618337293109
"companyBrand 1077",34.4795271751041,12.1710875445249,2.83290437678385,0.00462345676231636
"companyBrand 1078",8.29067164490812,5.43759549465912,1.52469444500815,0.127372124663701
"companyBrand 1079",-22.4313066947666,14.3684874173275,-1.5611460025859,0.118526127063861
"companyBrand 108",19.916866656907,3.47953640292267,5.72400008236085,1.07538471120811e-08
"companyBrand 1080",3.05183906292052,6.25989082148354,0.487522730020596,0.62590037458425
"companyBrand 1081",12.8606504664636,2.03032064185822,6.33429528386861,2.50400201300711e-10
"companyBrand 1082",-0.660964343947029,1.95694366808138,-0.33775338285289,0.735557291903651
"companyBrand 1083",0.237416636921243,1.55533249667729,0.152646869674777,0.878680344959512
"companyBrand 1084",-1.45920826460992,2.66208755668478,-0.548144354210174,0.583607024406426
"companyBrand 1085",1.00387280591204,5.43315986829737,0.184767765029272,0.85341555210587
"companyBrand 1086",-23.4646871618011,8.05805946654429,-2.91195259345287,0.00360101083761783
"companyBrand 1087",2.76810699811876,2.8491243586654,0.971564119235362,0.331294783460939
"companyBrand 1088",1.30225409176789,2.75232753470564,0.473146482512361,0.636120693170322
"companyBrand 1089",-3.27921650925243,2.66637031724632,-1.22984286467719,0.218789619096953
"companyBrand 109",-0.367412077847171,1.09145415944143,-0.336626210701512,0.736406914329823
"companyBrand 1090",-3.01759722369377,3.17577627156542,-0.950192005246742,0.34204142021953
"companyBrand 1091",4.28133559937311,9.01097433794835,0.47512460237989,0.634710238099687
"companyBrand 1092",11.1945671504921,3.32456590830414,3.36722671748819,0.000762614576235824
"companyBrand 1093",13.5154796337217,1.38005195551903,9.7934571083873,1.5753022267097e-22
"companyBrand 1094",-5.58697841154925,5.57921001276268,-1.00139238328882,0.316665339122194
"companyBrand 1095",-1.43906486356632,3.22915979424344,-0.44564684167433,0.655863594738847
"companyBrand 1096",-1.99621995180258,3.37986354508173,-0.590621463019539,0.554789611555685
"companyBrand 1097",-0.792958807001189,2.74989409446892,-0.288359762143615,0.773078319463814
"companyBrand 1098",-0.105569336958839,3.15791939916858,-0.0334300289572411,0.973332439745078
"companyBrand 1099",-3.2724327085474,2.77098781608506,-1.1809625035345,0.237650301025747
"companyBrand 11",-2.74540099852427,2.2474987443433,-1.22153616567491,0.221916588070257
"companyBrand 110",0.142560218616328,0.91550973433535,0.155716769871185,0.876259935213736
"companyBrand 1100",22.4514088378888,11.3622065795975,1.97597259657323,0.048189813568632
"companyBrand 1101",-11.2795694244404,9.16372937397662,-1.2308929000536,0.218396609220746
"companyBrand 1102",106.401971498438,34.2373231180362,3.1077771802313,0.00189115231848919
"companyBrand 1103",-14.4914097390122,12.385360991135,-1.17004338826979,0.242015954848821
"companyBrand 1104",-5.28860580557188,2.81986403956964,-1.87548255212298,0.0607602441865044
"companyBrand 1105",23.8554655829659,16.2196210983541,1.47077822831427,0.141387713533224
"companyBrand 1106",-39.3519203178718,12.8277558760841,-3.067716652703,0.00216372172605947
"companyBrand 1107",-9.94207982665297,8.68110640797473,-1.14525492021615,0.252135465551649
