"","Estimate","Std. Error","t value","Pr(>|t|)"
"companyBrand 1020",-40.7222662428576,15.7254289691038,-2.58958062911135,0.00962549728887845
"companyBrand 1021",-19.8435312369467,7.20290590358274,-2.75493412000238,0.00588275093109244
"companyBrand 1022",39.8477627021607,15.9820716045819,2.493278949566,0.0126755990286305
"companyBrand 1023",21.4423968616379,30.5336166107218,0.702255390673518,0.48253892451352
"companyBrand 1024",-2.86172919573832,6.34074713122382,-0.451323658949631,0.651767682302125
"companyBrand 1025",3.53876051139736,5.71785856994591,0.618896124853056,0.536001193691735
"companyBrand 1026",3.7064572745973,3.84867112782792,0.963048582612751,0.335550236374088
"companyBrand 1027",-0.614166717990644,1.01377923913685,-0.605818993209563,0.544650953239102
"companyBrand 1028",-168.50354794498,62.4408042517956,-2.69861270949492,0.00697652214700585
"companyBrand 1029",-3.41490082962853,2.72160649376725,-1.25473716992115,0.209608304947721
"companyBrand 103",-1.30313531740476,1.31938277169576,-0.987685564311171,0.323334469428948
"companyBrand 1030",12.3038365032193,8.00240185197698,1.53751795158595,0.124203332702368
"companyBrand 1031",2.72727499867981,2.66061518895563,1.02505428443801,0.305366422372044
"companyBrand 1032",0.355080074187554,6.89228660502021,0.0515184719580466,0.95891358009909
"companyBrand 1033",-11.2772870783554,2.78736495013387,-4.04585954121788,5.25878345818107e-05
"companyBrand 1034",3.08586486430929,7.59464079652213,0.406321371475847,0.684516600430361
"companyBrand 1035",5.30778076725185,2.65281864947493,2.00080799654451,0.0454444776598945
"companyBrand 1036",0.545319556047147,1.75145899743622,0.311351597065865,0.755540897429434
"companyBrand 1037",2.29085244287042,3.42984192057024,0.667917792109073,0.504204003550134
"companyBrand 1038",-1.26519129684208,2.85418097548557,-0.443276480261327,0.65757692261938
"companyBrand 1039",-20.670347287106,11.7804495371176,-1.75463145289815,0.0793579972549644
"companyBrand 104",-2.81172939115041,2.6249233288563,-1.07116629283626,0.28412474179369
"companyBrand 1040",-3.22235383690836,1.56075687821877,-2.064609729983,0.0389898708145311
